time,accx,accy,accz
5, -3654,  5034,  6225
12, -3689,  5088,  6226
18, -3675,  5073,  6226
23, -3659,  5064,  6231
29, -3656,  5044,  6230
37, -3651,  5048,  6242
48, -3684,  5058,  6241
57, -3701,  5038,  6222
68, -3706,  5011,  6219
78, -3731,  4999,  6222
87, -3747,  4983,  6233
98, -3720,  4986,  6237
107, -3683,  4991,  6229
118, -3670,  4986,  6223
127, -3657,  4990,  6214
138, -3653,  4997,  6210
148, -3660,  4986,  6223
157, -3686,  4968,  6225
168, -3715,  4946,  6214
177, -3729,  4953,  6210
188, -3729,  4957,  6216
198, -3713,  4951,  6217
207, -3697,  4948,  6220
217, -3706,  4940,  6228
228, -3723,  4938,  6234
237, -3735,  4926,  6229
248, -3750,  4899,  6221
257, -3754,  4890,  6220
268, -3766,  4897,  6222
277, -3790,  4925,  6230
287, -3807,  4947,  6232
298, -3799,  4945,  6235
307, -3781,  4918,  6229
318, -3766,  4885,  6226
327, -3758,  4866,  6220
338, -3756,  4883,  6221
347, -3772,  4922,  6229
357, -3784,  4965,  6234
368, -3776,  4985,  6231
377, -3760,  4976,  6237
388, -3747,  4962,  6235
397, -3733,  4953,  6234
408, -3736,  4952,  6234
417, -3753,  4962,  6230
428, -3754,  5006,  6232
437, -3713,  5048,  6233
447, -3649,  5065,  6223
458, -3604,  5071,  6213
467, -3610,  5089,  6210
478, -3649,  5102,  6212
487, -3699,  5096,  6215
498, -3758,  5048,  6222
507, -3809,  4994,  6232
517, -3835,  4942,  6242
528, -3835,  4908,  6244
537, -3817,  4862,  6235
548, -3781,  4786,  6224
557, -3753,  4778,  6225
568, -3759,  4824,  6229
577, -3752,  4885,  6229
587, -3767,  4947,  6229
598, -3778,  4970,  6234
607, -3748,  4968,  6236
618, -3715,  4962,  6230
627, -3708,  4955,  6228
638, -3722,  4959,  6236
647, -3739,  4983,  6242
656, -3753,  4998,  6244
667, -3768,  5011,  6248
677, -3772,  5038,  6250
688, -3757,  5039,  6244
697, -3732,  4992,  6228
708, -3699,  4936,  6212
717, -3691,  4889,  6208
726, -3702,  4881,  6215
737, -3724,  4911,  6224
747, -3746,  4945,  6222
758, -3750,  4965,  6228
767, -3752,  4972,  6235
778, -3753,  4965,  6227
787, -3763,  4956,  6224
797, -3767,  4960,  6226
807, -3770,  4997,  6232
817, -3761,  5026,  6236
826, -3731,  5028,  6231
837, -3703,  4987,  6217
846, -3689,  4933,  6216
857, -3682,  4895,  6211
867, -3689,  4880,  6208
878, -3720,  4886,  6213
887, -3763,  4922,  6218
897, -3798,  4970,  6225
906, -3810,  5025,  6231
917, -3803,  5065,  6234
926, -3778,  5040,  6236
938, -3741,  4973,  6234
947, -3712,  4910,  6216
956, -3699,  4874,  6205
967, -3710,  4885,  6204
976, -3733,  4922,  6211
987, -3759,  4964,  6223
997, -3778,  5009,  6228
1006, -3782,  5036,  6235
1017, -3762,  5018,  6232
1026, -3734,  4975,  6222
1037, -3726,  4941,  6221
1047, -3728,  4925,  6218
1058, -3737,  4928,  6222
1067, -3741,  4940,  6231
1076, -3746,  4964,  6240
1087, -3740,  4979,  6234
1097, -3736,  4967,  6226
1106, -3748,  4935,  6224
1117, -3760,  4916,  6227
1126, -3753,  4923,  6225
1137, -3748,  4926,  6223
1146, -3746,  4941,  6226
1157, -3727,  4961,  6228
1167, -3701,  4961,  6229
1176, -3698,  4937,  6230
1187, -3716,  4928,  6235
1196, -3735,  4955,  6225
1207, -3748,  5006,  6232
1216, -3772,  5035,  6232
1227, -3777,  5011,  6230
1237, -3756,  4960,  6220
1246, -3734,  4914,  6216
1257, -3710,  4889,  6216
1266, -3703,  4893,  6209
1277, -3709,  4923,  6218
1286, -3734,  4966,  6221
1297, -3743,  5033,  6216
1306, -3757,  5080,  6225
1316, -3794,  5039,  6234
1327, -3826,  4873,  6235
1336, -3856,  4710,  6228
1347, -3844,  4608,  6214
1356, -3847,  4544,  6218
1367, -3976,  4708,  6237
1376, -4037,  5026,  6275
1386, -4072,  5447,  6292
1397, -4169,  5807,  6286
1406, -4251,  5955,  6311
1417, -4214,  6056,  6336
1426, -4097,  6070,  6414
1437, -4257,  5572,  6366
1446, -5059,  4411,  5868
1455, -6053,  4024,  5499
1466, -6072,  3661,  6004
1476, -5486,  3192,  6130
1487, -5184,  3077,  5915
1497, -5243,  3275,  5817
1506, -5496,  3499,  5879
1516, -5735,  3694,  5909
1527, -5748,  3867,  5934
1536, -5584,  4128,  5991
1547, -5322,  4401,  6173
1556, -5087,  4695,  6337
1565, -4881,  5079,  6415
1576, -4717,  5570,  6439
1586, -4637,  6039,  6607
1597, -4825,  6514,  6772
1606, -5083,  6730,  6966
1616, -5249,  6395,  7136
1627, -5405,  5849,  7097
1636, -5443,  5311,  6878
1645, -5152,  4837,  6546
1656, -4607,  4407,  6156
1666, -4039,  4116,  5742
1676, -3562,  4051,  5370
1686, -3192,  4119,  5094
1697, -2893,  4284,  4953
1706, -2706,  4578,  4958
1715, -2681,  4877,  5070
1726, -2758,  5060,  5265
1735, -2884,  5073,  5517
1746, -2984,  4820,  5743
1756, -3028,  4398,  5898
1767, -2957,  3886,  5982
1776, -2802,  3460,  6065
1785, -2634,  3220,  6036
1796, -2469,  3150,  5866
1805, -2265,  3240,  5644
1817, -2104,  3452,  5510
1826, -2143,  3762,  5535
1835, -2321,  4067,  5693
1846, -2532,  4295,  5911
1855, -2736,  4467,  6116
1866, -2828,  4555,  6303
1876, -2874,  4659,  6477
1887, -3002,  4846,  6588
1896, -3159,  5024,  6658
1905, -3167,  5175,  6728
1916, -3041,  5255,  6729
1925, -2849,  5265,  6633
1936, -2570,  5241,  6446
1946, -2193,  5174,  6194
1955, -1763,  5046,  5942
1966, -1416,  4859,  5755
1975, -1166,  4628,  5723
1986, -1158,  4437,  5856
1995, -1360,  4238,  6129
2007, -1660,  4077,  6490
2016, -1969,  3984,  6857
2025, -2254,  3966,  7121
2036, -2456,  4029,  7226
2046, -2528,  4150,  7187
2055, -2516,  4280,  7048
2066, -2472,  4383,  6896
2075, -2448,  4437,  6740
2086, -2432,  4447,  6574
2095, -2385,  4450,  6426
2106, -2350,  4477,  6313
2116, -2367,  4520,  6234
2125, -2415,  4570,  6178
2136, -2469,  4613,  6155
2146, -2510,  4653,  6168
2155, -2552,  4677,  6195
2166, -2580,  4671,  6259
2175, -2597,  4714,  6330
2186, -2605,  4760,  6360
2196, -2582,  4767,  6385
2205, -2542,  4776,  6409
2216, -2516,  4801,  6456
2226, -2530,  4836,  6541
2235, -2571,  4875,  6675
2246, -2627,  4923,  6803
2255, -2647,  4988,  6900
2266, -2594,  5050,  6898
2275, -2450,  5132,  6803
2286, -2203,  5149,  6652
2296, -1953,  5086,  6476
2305, -1753,  5018,  6338
2316, -1613,  5001,  6251
2325, -1555,  4982,  6209
2335, -1541,  4901,  6236
2346, -1579,  4847,  6317
2355, -1625,  4837,  6367
2366, -1621,  4857,  6359
2375, -1570,  4890,  6320
2385, -1534,  4965,  6286
2396, -1518,  5026,  6256
2405, -1589,  5049,  6235
2416, -1633,  4977,  6246
2425, -1683,  4935,  6259
2435, -1774,  4884,  6294
2446, -1921,  4765,  6381
2455, -2103,  4694,  6503
2466, -2356,  4753,  6568
2475, -2543,  4806,  6558
2486, -2593,  4855,  6450
2495, -2583,  4952,  6250
2505, -2546,  5094,  6014
2516, -2451,  5235,  5723
2525, -2368,  5352,  5505
2534, -2420,  5448,  5432
2545, -2644,  5478,  5497
2555, -2937,  5465,  5635
2565, -3198,  5404,  5691
2575, -3270,  5205,  5649
2586, -3240,  5001,  5640
2595, -3309,  4842,  5705
2604, -3503,  4710,  5882
2616, -3734,  4542,  6119
2625, -3936,  4398,  6351
2634, -4161,  4421,  6519
2645, -4280,  4480,  6524
2655, -4201,  4564,  6427
2666, -4049,  4717,  6284
2675, -3934,  4925,  6124
2684, -3887,  5155,  6002
2695, -3889,  5397,  5883
2704, -3897,  5612,  5787
2715, -3937,  5808,  5744
2725, -4080,  5972,  5694
2736, -4231,  6100,  5643
2745, -4330,  6177,  5548
2754, -4333,  6208,  5401
2765, -4281,  6198,  5266
2774, -4256,  6077,  5186
2785, -4307,  5841,  5235
2795, -4442,  5527,  5363
2806, -4588,  5200,  5555
2815, -4718,  4981,  5753
2825, -4787,  4813,  5905
2835, -4788,  4652,  6024
2845, -4766,  4528,  6116
2854, -4748,  4427,  6151
2865, -4713,  4304,  6149
2874, -4674,  4276,  6115
2885, -4631,  4405,  6037
2894, -4604,  4642,  5974
2905, -4630,  4946,  5921
2915, -4638,  5294,  5888
2924, -4595,  5562,  5865
