time,accx,accy,accz
5,  -203,   410,   408
12,  -239,   462,   410
18,  -226,   447,   410
23,  -211,   437,   415
29,  -209,   417,   413
37,  -203,   422,   425
48,  -235,   431,   425
57,  -251,   413,   406
68,  -254,   389,   402
78,  -278,   378,   404
87,  -293,   365,   414
98,  -265,   369,   416
107,  -228,   377,   407
118,  -215,   373,   400
127,  -200,   379,   390
138,  -195,   388,   386
148,  -200,   379,   398
157,  -223,   363,   401
168,  -249,   343,   390
177,  -261,   351,   386
188,  -259,   357,   392
198,  -241,   352,   393
207,  -224,   350,   396
217,  -231,   343,   404
228,  -246,   342,   410
237,  -257,   330,   406
248,  -270,   304,   399
257,  -273,   294,   398
268,  -284,   300,   402
277,  -307,   327,   412
287,  -323,   349,   415
298,  -315,   347,   417
307,  -298,   320,   411
318,  -283,   286,   409
327,  -277,   265,   404
338,  -274,   279,   407
347,  -291,   314,   417
357,  -303,   354,   425
368,  -298,   372,   422
377,  -283,   361,   429
388,  -271,   346,   427
397,  -259,   335,   426
408,  -263,   332,   427
417,  -281,   339,   424
428,  -283,   381,   428
437,  -244,   421,   429
447,  -181,   438,   420
458,  -136,   444,   409
467,  -140,   462,   406
478,  -176,   478,   408
487,  -221,   476,   410
498,  -276,   433,   416
507,  -324,   385,   424
517,  -348,   338,   431
528,  -347,   308,   430
537,  -329,   266,   419
548,  -293,   190,   406
557,  -266,   181,   408
568,  -272,   225,   414
577,  -265,   282,   416
587,  -281,   342,   418
598,  -292,   363,   424
607,  -264,   361,   426
618,  -232,   353,   420
627,  -226,   346,   418
638,  -240,   348,   428
647,  -256,   371,   435
656,  -271,   384,   438
667,  -285,   397,   441
677,  -289,   424,   443
688,  -276,   427,   435
697,  -253,   382,   417
708,  -220,   328,   400
717,  -212,   281,   395
726,  -221,   272,   403
737,  -243,   301,   415
747,  -264,   333,   414
758,  -268,   351,   422
767,  -270,   357,   430
778,  -272,   350,   422
787,  -282,   339,   419
797,  -286,   342,   422
807,  -289,   379,   428
817,  -281,   408,   431
826,  -252,   411,   425
837,  -226,   372,   409
846,  -213,   318,   407
857,  -206,   281,   402
867,  -211,   265,   400
878,  -240,   269,   407
887,  -282,   303,   415
897,  -316,   349,   424
906,  -328,   403,   431
917,  -321,   444,   433
926,  -299,   421,   432
938,  -262,   357,   427
947,  -234,   296,   407
956,  -221,   259,   397
967,  -231,   269,   398
976,  -253,   305,   406
987,  -279,   345,   420
997,  -297,   389,   426
1006,  -302,   417,   432
1017,  -283,   399,   427
1026,  -256,   358,   415
1037,  -248,   326,   413
1047,  -250,   310,   410
1058,  -259,   313,   414
1067,  -263,   325,   423
1076,  -269,   348,   433
1087,  -263,   363,   427
1097,  -259,   352,   417
1106,  -271,   321,   414
1117,  -282,   303,   418
1126,  -275,   310,   416
1137,  -270,   313,   414
1146,  -269,   328,   417
1157,  -250,   347,   419
1167,  -225,   346,   420
1176,  -222,   322,   421
1187,  -239,   313,   426
1196,  -258,   339,   418
1207,  -269,   389,   425
1216,  -294,   419,   425
1227,  -299,   397,   422
1237,  -279,   348,   409
1246,  -259,   302,   404
1257,  -235,   278,   403
1266,  -229,   280,   397
1277,  -234,   309,   408
1286,  -259,   350,   412
1297,  -267,   418,   407
1306,  -281,   466,   416
1316,  -318,   428,   422
1327,  -350,   267,   419
1336,  -379,   108,   409
1347,  -363,     9,   395
1356,  -359,   -54,   404
1367,  -477,   109,   429
1376,  -523,   430,   473
1386,  -545,   860,   492
1397,  -624,  1235,   484
1406,  -686,  1408,   502
1417,  -633,  1539,   514
1426,  -498,  1582,   580
1437,  -634,  1121,   519
1446, -1393,    12,     8
1455, -2335,  -325,  -363
1466, -2334,  -636,   115
1476, -1747, -1049,   201
1487, -1421, -1119,   -30
1497, -1438,  -893,  -121
1506, -1652,  -657,   -41
1516, -1865,  -473,    12
1527, -1868,  -335,    68
1536, -1710,  -127,   160
1547, -1465,    82,   377
1556, -1251,   316,   572
1565, -1061,   652,   676
1576,  -907,  1109,   720
1586,  -840,  1561,   893
1597, -1040,  2036,  1050
1606, -1317,  2266,  1221
1616, -1516,  1953,  1351
1627, -1722,  1423,  1268
1636, -1824,   890,  1006
1645, -1609,   411,   631
1656, -1144,   -28,   202
1666,  -646,  -331,  -242
1676,  -223,  -407,  -636
1686,   103,  -352,  -927
1697,   366,  -199, -1079
1706,   523,    83, -1081
1715,   520,   372,  -977
1726,   413,   551,  -795
1735,   252,   565,  -562
1746,   109,   315,  -360
1756,    14,  -107,  -230
1767,    31,  -623,  -169
1776,   137, -1048,  -110
1785,   264, -1280,  -165
1796,   398, -1338,  -358
1805,   579, -1243,  -594
1817,   726, -1044,  -725
1826,   681,  -766,  -680
1835,   499,  -508,  -489
1846,   279,  -339,  -231
1855,    56,  -231,    13
1866,   -61,  -205,   237
1876,  -135,  -153,   440
1887,  -288,    -2,   567
1896,  -471,   160,   638
1905,  -509,   314,   692
1916,  -420,   409,   665
1925,  -272,   438,   535
1936,   -42,   434,   312
1946,   279,   383,    26
1955,   655,   266,  -256
1966,   956,    85,  -465
1975,  1171,  -144,  -511
1986,  1160,  -339,  -382
1995,   951,  -542,  -109
2007,   651,  -704,   252
2016,   342,  -793,   616
2025,    55,  -803,   874
2036,  -156,  -732,   969
2046,  -241,  -604,   919
2055,  -247,  -470,   771
2066,  -222,  -364,   610
2075,  -213,  -308,   447
2086,  -209,  -296,   275
2095,  -171,  -291,   123
2106,  -142,  -265,     8
2116,  -161,  -221,   -71
2125,  -207,  -170,  -127
2136,  -257,  -129,  -148
2146,  -296,   -94,  -130
2155,  -335,   -80,   -95
2166,  -361,   -96,   -22
2175,  -375,   -65,    58
2186,  -380,   -31,    98
2196,  -355,   -36,   133
2205,  -311,   -41,   169
2216,  -282,   -32,   230
2226,  -292,   -12,   328
2235,  -329,    12,   475
2246,  -385,    47,   612
2255,  -409,   103,   715
2266,  -367,   158,   715
2275,  -239,   233,   619
2286,   -12,   247,   464
2296,   221,   181,   285
2305,   410,   109,   145
2316,   544,    88,    59
2325,   600,    65,    20
2335,   616,   -18,    51
2346,   583,   -74,   135
2355,   543,   -86,   189
2366,   552,   -67,   183
2375,   608,   -35,   147
2385,   650,    37,   117
2396,   675,    97,    90
2405,   615,   119,    73
2416,   586,    48,    89
2425,   550,     3,   110
2435,   476,   -55,   158
2446,   350,  -183,   260
2455,   193,  -265,   400
2466,   -33,  -216,   483
2475,  -197,  -169,   487
2486,  -229,  -125,   391
2495,  -201,   -34,   201
2505,  -147,   100,   -21
2516,   -33,   235,  -299
2525,    73,   345,  -501
2534,    54,   437,  -557
2545,  -129,   467,  -476
2555,  -381,   460,  -326
2565,  -606,   406,  -260
2575,  -648,   209,  -291
2586,  -589,     4,  -286
2595,  -623,  -160,  -201
2604,  -777,  -298,     0
2616,  -968,  -469,   258
2625, -1132,  -614,   510
2634, -1321,  -590,   694
2645, -1411,  -528,   710
2655, -1309,  -442,   621
2666, -1139,  -290,   490
