time,qw,qx,qy,qz
8,-0.05487,-0.67413,-0.30908,0.66858
18,-0.05658,-0.67352,-0.31000,0.66870
29,-0.05835,-0.67285,-0.31085,0.66876
38,-0.06012,-0.67224,-0.31177,0.66882
47,-0.06183,-0.67163,-0.31262,0.66888
58,-0.06360,-0.67096,-0.31354,0.66895
68,-0.06531,-0.67035,-0.31445,0.66901
79,-0.06702,-0.66968,-0.31537,0.66907
88,-0.06873,-0.66901,-0.31622,0.66913
97,-0.07043,-0.66840,-0.31708,0.66919
108,-0.07220,-0.66772,-0.31793,0.66925
118,-0.07391,-0.66705,-0.31885,0.66931
129,-0.07562,-0.66638,-0.31976,0.66931
138,-0.07733,-0.66571,-0.32068,0.66937
147,-0.07904,-0.66504,-0.32153,0.66943
158,-0.08075,-0.66437,-0.32245,0.66943
167,-0.08246,-0.66370,-0.32336,0.66943
178,-0.08417,-0.66302,-0.32428,0.66943
188,-0.08588,-0.66235,-0.32520,0.66943
197,-0.08759,-0.66168,-0.32605,0.66943
208,-0.08929,-0.66101,-0.32697,0.66949
217,-0.09094,-0.66034,-0.32788,0.66949
228,-0.09265,-0.65967,-0.32874,0.66949
238,-0.09436,-0.65894,-0.32965,0.66949
247,-0.09607,-0.65826,-0.33051,0.66949
258,-0.09772,-0.65759,-0.33142,0.66949
267,-0.09943,-0.65686,-0.33228,0.66949
278,-0.10114,-0.65619,-0.33319,0.66949
288,-0.10284,-0.65546,-0.33411,0.66943
297,-0.10455,-0.65479,-0.33502,0.66943
308,-0.10620,-0.65405,-0.33594,0.66943
317,-0.10791,-0.65338,-0.33679,0.66937
328,-0.10956,-0.65265,-0.33771,0.66931
337,-0.11127,-0.65198,-0.33856,0.66931
347,-0.11298,-0.65125,-0.33948,0.66925
358,-0.11462,-0.65051,-0.34039,0.66919
367,-0.11633,-0.64978,-0.34131,0.66919
378,-0.11798,-0.64911,-0.34216,0.66907
387,-0.11963,-0.64838,-0.34308,0.66907
398,-0.12128,-0.64764,-0.34399,0.66901
408,-0.12292,-0.64691,-0.34485,0.66895
417,-0.12463,-0.64618,-0.34570,0.66888
428,-0.12628,-0.64545,-0.34662,0.66882
437,-0.12793,-0.64471,-0.34747,0.66876
448,-0.12958,-0.64398,-0.34839,0.66870
457,-0.13123,-0.64325,-0.34930,0.66864
467,-0.13293,-0.64252,-0.35022,0.66852
478,-0.13452,-0.64172,-0.35114,0.66846
487,-0.13617,-0.64099,-0.35199,0.66833
498,-0.13782,-0.64026,-0.35291,0.66827
507,-0.13947,-0.63953,-0.35376,0.66815
518,-0.14111,-0.63873,-0.35468,0.66809
527,-0.14276,-0.63800,-0.35553,0.66797
537,-0.14435,-0.63727,-0.35645,0.66785
548,-0.14600,-0.63647,-0.35730,0.66779
557,-0.14764,-0.63574,-0.35822,0.66766
568,-0.14929,-0.63495,-0.35907,0.66754
577,-0.15088,-0.63416,-0.35999,0.66748
588,-0.15253,-0.63342,-0.36090,0.66736
597,-0.15417,-0.63263,-0.36176,0.66724
608,-0.15576,-0.63184,-0.36267,0.66711
