time,gyrx,gyry,gyrz
7,   -12,   -11,     8
16,   -12,   -12,     8
27,   -12,   -13,     9
36,   -12,   -13,     9
47,   -12,   -12,     9
56,   -12,   -11,     8
67,   -12,   -10,     8
77,   -13,   -10,     8
86,   -12,   -11,     8
97,   -12,   -11,     8
106,   -12,   -12,     8
117,   -12,   -12,     8
127,   -12,   -12,     8
136,   -11,   -13,     9
147,   -12,   -14,     9
156,   -12,   -15,     9
167,   -13,   -15,     9
176,   -13,   -15,     9
186,   -13,   -14,     9
197,   -14,   -13,     8
206,   -14,   -12,     8
217,   -14,   -12,     8
226,   -15,   -12,     8
236,   -15,   -13,     8
247,   -15,   -13,     8
256,   -15,   -13,     9
267,   -14,   -13,     9
276,   -13,   -12,    10
287,   -13,   -12,    10
296,   -13,   -13,    11
306,   -13,   -14,    12
317,   -13,   -14,    12
326,   -14,   -13,    12
337,   -14,   -12,    11
346,   -16,   -11,    10
356,   -16,   -11,     9
367,   -17,   -12,     9
376,   -17,   -13,     9
387,   -16,   -14,     9
396,   -16,   -15,     9
405,   -15,   -16,    10
416,   -13,   -16,    11
426,   -12,   -16,    11
437,   -11,   -15,    11
446,   -10,   -14,    11
457,   -11,   -13,    11
466,   -12,   -13,    10
476,   -14,   -14,    10
487,   -15,   -14,     9
496,   -16,   -14,    10
507,   -16,   -15,    10
516,   -15,   -15,    10
526,   -14,   -15,    10
536,   -13,   -14,    10
546,   -12,   -13,    11
557,   -11,   -14,    11
566,   -11,   -14,    11
575,   -12,   -15,    11
586,   -13,   -15,    10
596,   -14,   -16,    10
605,   -14,   -16,    10
616,   -15,   -16,     9
626,   -15,   -15,     9
637,   -14,   -15,    10
646,   -13,   -15,    10
656,   -12,   -15,    10
667,   -11,   -15,    11
676,   -10,   -15,    11
685,   -11,   -14,    10
697,   -14,   -14,     8
706,   -16,   -12,     7
715,   -16,   -11,     6
726,   -17,   -10,     5
736,   -17,   -10,     6
747,   -17,   -11,     6
756,   -15,   -12,     7
765,   -15,   -13,     7
776,   -14,   -13,     7
785,   -15,   -13,     6
796,   -16,   -13,     5
806,   -17,   -14,     6
815,   -16,   -14,     6
826,   -16,   -14,     6
835,   -16,   -14,     7
846,   -16,   -15,     7
856,   -16,   -15,     7
867,   -17,   -15,     7
876,   -17,   -15,     7
885,   -16,   -15,     8
896,   -15,   -16,     9
905,   -14,   -17,    10
916,   -14,   -16,     9
926,   -14,   -15,     9
935,   -14,   -14,     9
946,   -14,   -14,     8
955,   -14,   -13,     7
966,   -14,   -13,     7
975,   -14,   -14,     7
986,   -15,   -16,     7
996,   -15,   -16,     8
1005,   -14,   -16,     8
1016,   -14,   -14,     9
1025,   -13,   -14,     9
1036,   -12,   -13,     9
1046,   -13,   -12,     8
1055,   -13,   -12,     8
1066,   -13,   -12,     8
1075,   -14,   -14,     8
1086,   -14,   -15,     8
1095,   -14,   -15,     8
1106,   -14,   -14,     8
1116,   -14,   -12,     8
1125,   -14,   -10,     9
1136,   -13,    -9,     9
1145,   -12,    -9,     9
1156,   -11,    -8,     9
1166,   -11,    -6,     9
1175,   -12,    -4,     9
1186,   -11,    -3,     9
1195,    -7,    -1,     6
1206,    -2,    -3,     4
1215,    -1,    -9,     3
1225,    -5,   -19,     4
1236,    -8,   -27,     4
1245,    -9,   -32,     2
1256,    -9,   -36,    -2
1265,    -9,   -38,    -9
1275,    -9,   -35,   -15
1286,    -8,   -29,   -19
1295,    -2,   -22,   -20
1306,     5,   -15,   -16
1315,     9,    -9,   -10
1326,     6,    -3,    -4
1335,    -3,     4,     1
1345,   -10,     8,     4
1356,   -17,     9,     2
1365,   -30,    10,    -5
1376,   -45,    14,   -14
1385,   -56,    20,   -24
1394,   -58,    25,   -27
1405,   -58,    28,   -26
1415,   -57,    27,   -18
1426,   -57,    24,   -12
1435,   -51,    28,     0
1446,   -36,    28,     5
1455,   -17,    24,     5
1465,    -1,    10,     3
1476,    12,   -10,    -2
1485,    18,   -27,    -5
1496,    23,   -30,   -10
1505,    26,   -22,   -13
1514,    27,   -11,   -16
1525,    26,    -1,   -16
1535,    22,     4,   -15
1546,    13,     2,   -12
1555,     1,    -5,   -13
1564,    -9,   -11,   -17
1575,   -19,   -17,   -21
1584,   -25,   -20,   -25
1595,   -29,   -21,   -28
1605,   -33,   -19,   -27
1616,   -33,   -15,   -21
1625,   -31,   -11,   -13
1635,   -27,   -11,    -3
1646,   -24,   -13,     5
1655,   -23,   -17,     9
1664,   -24,   -20,    10
1675,   -25,   -21,     9
1685,   -28,   -23,     7
1696,   -31,   -24,     5
1705,   -35,   -24,     3
1714,   -37,   -26,     1
1725,   -35,   -27,     1
1735,   -32,   -28,     2
1745,   -26,   -27,     4
1755,   -20,   -25,     7
1764,   -14,   -23,     9
1775,    -9,   -22,    11
1784,    -6,   -22,    12
1795,    -3,   -22,    13
1805,    -3,   -22,    14
1816,    -4,   -24,    15
1825,    -8,   -27,    17
1834,   -12,   -28,    18
1845,   -16,   -28,    17
1854,   -22,   -26,    15
1865,   -26,   -26,    13
1875,   -29,   -27,    11
1884,   -30,   -27,    10
1895,   -29,   -25,    11
1904,   -26,   -23,    12
1915,   -22,   -21,    13
1925,   -16,   -19,    13
1934,   -12,   -18,    14
1945,   -10,   -18,    15
1954,    -9,   -17,    15
1965,    -9,   -15,    15
1974,   -11,   -12,    13
1985,   -12,    -7,    11
1995,   -12,    -3,    10
2004,   -13,    -4,    10
2015,   -14,    -6,     9
2024,   -15,    -9,     9
2035,   -16,   -12,     9
2044,   -16,   -14,     9
2055,   -16,   -14,    10
2065,   -14,   -14,    11
2074,   -12,   -14,    10
2085,   -11,   -15,     9
2094,   -10,   -16,     9
2105,   -10,   -17,     9
2115,    -9,   -17,     8
2124,   -10,   -16,     7
